Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
4209058,Fruit and nuts - Nuts - Macadamias,1182576.1,**,1160722.77,**,Fruit and nuts,Macadamias,104,Coffs Harbour - Grafton,,,
4209058,Fruit and nuts - Nuts - Macadamias,28072.62,,27553.85,,Fruit and nuts,Macadamias,106,Hunter Valley excluding Newcastle,,,
4209058,Fruit and nuts - Nuts - Macadamias,6168138.24,*,6054154.58,*,Fruit and nuts,Macadamias,108,Mid North Coast,,,
4209058,Fruit and nuts - Nuts - Macadamias,149529.91,*,146766.68,*,Fruit and nuts,Macadamias,110,New England and North West,,,
4209058,Fruit and nuts - Nuts - Macadamias,98322902.83,,96505951.87,,Fruit and nuts,Macadamias,112,Richmond - Tweed,,,
4209058,Fruit and nuts - Nuts - Macadamias,51279.83,*,50332.21,*,Fruit and nuts,Macadamias,124,Sydney - Outer West and Blue Mountains,,,
4209058,Fruit and nuts - Nuts - Macadamias,1319029.28,**,1292468.71,**,Fruit and nuts,Macadamias,306,Cairns,,,
4209058,Fruit and nuts - Nuts - Macadamias,1405312.32,*,1377014.31,*,Fruit and nuts,Macadamias,307,Darling Downs - Maranoa,,,
4209058,Fruit and nuts - Nuts - Macadamias,9964983.21,,9764323.8,,Fruit and nuts,Macadamias,308,Central Queensland,,,
4209058,Fruit and nuts - Nuts - Macadamias,112860,,110587.4,,Fruit and nuts,Macadamias,312,Mackay - Isaac - Whitsunday,,,
4209058,Fruit and nuts - Nuts - Macadamias,1346738.85,^,1319620.31,^,Fruit and nuts,Macadamias,313,Moreton Bay - North,,,
4209058,Fruit and nuts - Nuts - Macadamias,20290782.82,^,19882198.44,^,Fruit and nuts,Macadamias,316,Sunshine Coast,,,
4209058,Fruit and nuts - Nuts - Macadamias,104979279.9,,102865369.7,,Fruit and nuts,Macadamias,319,Wide Bay,,,
4209058,Fruit and nuts - Nuts - Macadamias,158049.94,**,153672.84,**,Fruit and nuts,Macadamias,501,Bunbury,,,
4209058,Fruit and nuts - Nuts - Macadamias,2314.64,,2250.53,,Fruit and nuts,Macadamias,509,Western Australia - Wheat Belt,,,
