Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3611758,Vegetables for human consumption - Sweet corn,3632274.81,,2952500.32,,101,Central Tablelands
3611758,Vegetables for human consumption - Sweet corn,3436086.16,*,2793028.06,*,102,Central West
3611758,Vegetables for human consumption - Sweet corn,238960.76,*,194239.63,*,103,Greater Sydney
3611758,Vegetables for human consumption - Sweet corn,16265.4,*,13221.35,*,106,North Coast
3611758,Vegetables for human consumption - Sweet corn,1062340.27,**,863524.97,**,109,Northern Tablelands
3611758,Vegetables for human consumption - Sweet corn,3255.28,*,2646.06,*,111,South East NSW
3611758,Vegetables for human consumption - Sweet corn,13391.42,**,8672.85,**,201,Corangamite
3611758,Vegetables for human consumption - Sweet corn,18267487.68,,11830792.59,,202,East Gippsland
3611758,Vegetables for human consumption - Sweet corn,62258.56,**,40321.26,**,204,Goulburn Broken
3611758,Vegetables for human consumption - Sweet corn,289169.6,*,187278.38,*,207,North East
3611758,Vegetables for human consumption - Sweet corn,3514042.29,,2275841.44,,209,West Gippsland
3611758,Vegetables for human consumption - Sweet corn,,,,,301,Burnett Mary
3611758,Vegetables for human consumption - Sweet corn,3306317,**,2145354.54,**,303,Condamine
3611758,Vegetables for human consumption - Sweet corn,,,,,306,Fitzroy Basin
3611758,Vegetables for human consumption - Sweet corn,,,,,307,North Queensland Dry Tropics
3611758,Vegetables for human consumption - Sweet corn,81894677.08,,53138618.46,,311,South East Queensland
3611758,Vegetables for human consumption - Sweet corn,2472.41,*,1648.97,*,407,South Australian Murray Darling Basin
3611758,Vegetables for human consumption - Sweet corn,163474.34,^,109768.67,^,501,Northern Agricultural
3611758,Vegetables for human consumption - Sweet corn,324138.19,**,217650.16,**,504,Rangelands
3611758,Vegetables for human consumption - Sweet corn,109156.17,,73295.47,,505,South Coast
